title,rating,ratingLevel,release year,user rating score,user rating size,sceneDesc,kids_audience_fit,youth_audience_fit,adult_audience_fit,genre,country,imdbRating,imdbVotes,rating_num,type_cat,audience_segment_cat,type_movie,type_tv,type_unknown,audience_segment_Adults,audience_segment_Family,audience_segment_Kids,audience_segment_Teens
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,77.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,89.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,66.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2014,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2014,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,85.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Hap and Leonard,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,57.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,81.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,84.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,86.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,57.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
I.T,NR,This movie has not been rated.,2016,,82,,0.0,0.4,1.0,,,,,0.0,unknown,Adults,False,False,True,True,False,False,False
Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2005,79.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2011,88.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,70.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,79.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Nightmare Before Christmas,PG,Parental guidance suggested. May not be suitable for children.,1993,84.0,80,some scary images,0.7,0.7,0.4,"Animation, Adventure, Family",United States,7.9,"409,668",3.1,movie,Family,True,False,False,False,True,False,False
Scooby-Doo,PG,Parental guidance suggested. May not be suitable for children.,2002,86.0,80,"some rude humor, language and some scary action",0.7,0.7,0.4,"Adventure, Comedy, Family",United States,5.4,"138,973",3.1,movie,Family,True,False,False,False,True,False,False
Chicken Little,G,General Audiences. Suitable for all ages.,2005,92.0,80,,1.0,0.2,0.2,"Animation, Adventure, Comedy",United States,5.7,"106,831",1.1,movie,Kids,True,False,False,False,False,True,False
Teenage Mutant Ninja Turtles,PG,Parental guidance suggested. May not be suitable for children.,2007,,82,"animated action violence, some scary cartoon images and mild language",0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
Star Wars: The Clone Wars,PG,Parental guidance suggested. May not be suitable for children.,2008,57.0,80,"sci-fi action violence throughout, brief language and momentary smoking",0.7,0.7,0.4,"Animation, Action, Adventure","United States, Singapore, Australia, United Kingdom, Czech Republic",6.0,"80,394",3.1,movie,Family,True,False,False,False,True,False,False
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,1976,,82,,1.0,0.2,0.2,,,,,1.1,movie,Kids,True,False,False,False,False,True,False
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,1993,,82,,1.0,0.2,0.2,"Animation, Adventure, Comedy",United States,6.0,"16,469",1.1,movie,Kids,True,False,False,False,False,True,False
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,2010,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Dino Squad,TV-Y7,Suitable for children ages 7 and older,2008,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,2010,74.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,2010,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,93.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Phineas and Ferb,TV-G,Suitable for all ages.,2012,89.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
The Batman,TV-Y7,Suitable for children ages 7 and older,2007,77.0,80,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2003,66.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2005,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2010,73.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,71.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,1989,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,1996,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Oscar's Oasis,TV-G,Suitable for all ages.,2011,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2013,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,2011,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,2016,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,2013,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2013,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2014,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2013,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,2014,,82,,0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
VeggieTales in the House,TV-Y,Suitable for all ages.,2016,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Thunder and the House Of Magic,TV-G,Suitable for all ages.,2013,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,71.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Marvel Super Hero Adventures: Frost Fight!,PG,Parental guidance suggested. May not be suitable for children.,2015,,82,fantasy action,0.7,0.7,0.4,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",USA,5.2,727,3.1,movie,Family,True,False,False,False,True,False,False
Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2017,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2017,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,2014,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,2015,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,2013,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
The Jungle Book,PG,Parental guidance suggested. May not be suitable for children.,2016,97.0,80,for some sequences of scary action and peril,0.7,0.7,0.4,"Animation, Action, Adventure","United Kingdom, United States, New Zealand, France, Canada, India",7.3,"304,379",3.1,movie,Family,True,False,False,False,True,False,False
The Angry Birds Movie,PG,Parental guidance suggested. May not be suitable for children.,2016,92.0,80,for rude humor and action,0.7,0.7,0.4,"Animation, Action, Adventure","United States, Finland, Canada",6.3,"117,177",3.1,movie,Family,True,False,False,False,True,False,False
The Secret Life of Pets,PG,Parental guidance suggested. May not be suitable for children.,2016,,81,for action and some rude humor,0.7,0.7,0.4,"Animation, Adventure, Comedy","Japan, United States",6.5,"233,985",3.1,movie,Family,True,False,False,False,True,False,False
The Furchester Hotel,TV-Y,Suitable for all ages.,2015,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Marvel's Hulk: Where Monsters Dwell,PG,Parental guidance suggested. May not be suitable for children.,2016,,82,"action violence throughout, some scary images, and language",0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
Angry Birds,TV-G,Suitable for all ages.,2013,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Talking Tom and Friends,TV-G,Suitable for all ages.,2016,61.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,1999,67.0,80,,1.0,0.2,0.2,,,,,1.1,movie,Kids,True,False,False,False,False,True,False
The Iron Giant,PG,Parental guidance suggested. May not be suitable for children.,1999,83.0,80,fantasy action and mild language,0.7,0.7,0.4,"Animation, Action, Adventure","United States, Czech Republic, United Kingdom",8.1,"257,198",3.1,movie,Family,True,False,False,False,True,False,False
The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,2014,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Bob the Builder,TV-Y,Suitable for all ages.,2015,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,2009,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,1997,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,2008,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,67.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Goosebumps,TV-Y7,Suitable for children ages 7 and older,1998,88.0,80,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2011,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Super Buddies,G,General Audiences. Suitable for all ages.,2013,,82,,1.0,0.2,0.2,Family,USA,4.3,"1,231",1.1,movie,Kids,True,False,False,False,False,True,False
Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,2000,74.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Ratchet and Clank,PG,Parental guidance suggested. May not be suitable for children.,2016,74.0,80,action and some rude humor,0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,2014,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Iron Man & Captain America: Heroes United,PG,Parental guidance suggested. May not be suitable for children.,2014,,82,"action and violence throughout, and mild language",0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,2014,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Chuggington,TV-Y,Suitable for all ages.,2015,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,78.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Some Assembly Required,TV-G,Suitable for all ages.,2015,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,2016,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Robocar Poli,TV-Y,Suitable for all ages.,2012,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2017,,82,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,2017,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2015,56.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,2016,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
The Deep,TV-Y7,Suitable for children ages 7 and older,2015,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,2016,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Growing Up Wild,G,General Audiences. Suitable for all ages.,2016,80.0,80,,1.0,0.2,0.2,,,,,1.1,movie,Kids,True,False,False,False,False,True,False
The Little Rascals,PG,Parental guidance suggested. May not be suitable for children.,1994,86.0,80,some rude dialogue,0.7,0.7,0.4,"Comedy, Family, Romance",United States,6.3,"58,486",3.1,movie,Family,True,False,False,False,True,False,False
Flubber,PG,Parental guidance suggested. May not be suitable for children.,1997,83.0,80,slapstick action and mild language,0.7,0.7,0.4,"Comedy, Family, Sci-Fi",United States,5.3,"99,482",3.1,movie,Family,True,False,False,False,True,False,False
Tarzan,G,General Audiences. Suitable for all ages.,1999,95.0,80,,1.0,0.2,0.2,"Animation, Adventure, Comedy","United States, Japan",7.3,"265,277",1.1,movie,Kids,True,False,False,False,False,True,False
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,2000,95.0,80,,1.0,0.2,0.2,"Animation, Adventure, Comedy","United States, Japan, France",7.4,"246,493",1.1,movie,Kids,True,False,False,False,False,True,False
Lilo & Stitch,PG,Parental guidance suggested. May not be suitable for children.,2002,95.0,80,mild sci-fi action,0.7,0.7,0.4,"Animation, Adventure, Comedy","United States, Japan",7.4,"243,669",3.1,movie,Family,True,False,False,False,True,False,False
Scooby-Doo 2: Monsters Unleashed,PG,Parental guidance suggested. May not be suitable for children.,2004,82.0,80,"some scary action, rude humor and language",0.7,0.7,0.4,"Adventure, Comedy, Family","United States, Canada",5.3,"71,108",3.1,movie,Family,True,False,False,False,True,False,False
The Three Musketeers,G,General Audiences. Suitable for all ages.,2004,,82,,1.0,0.2,0.2,"Animation, Adventure, Comedy, Family, Musical, Romance",USA,6.4,"8,658",1.1,movie,Kids,True,False,False,False,False,True,False
Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,2004,,82,,1.0,0.2,0.2,"Animation, Comedy, Family, Fantasy",USA,6.5,"4,393",1.1,movie,Kids,True,False,False,False,False,True,False
The Pacifier,PG,Parental guidance suggested. May not be suitable for children.,2005,91.0,80,"action violence, language and rude humor",0.7,0.7,0.4,"Action, Comedy, Drama",United States,5.6,"102,778",3.1,movie,Family,True,False,False,False,True,False,False
Bee Movie,PG,Parental guidance suggested. May not be suitable for children.,2007,94.0,80,mild suggestive humor,0.7,0.7,0.4,"Animation, Adventure, Comedy",United States,6.1,"195,239",3.1,movie,Family,True,False,False,False,True,False,False
Kung Fu Panda,PG,Parental guidance suggested. May not be suitable for children.,2008,91.0,80,sequences of martial arts action,0.7,0.7,0.4,"Animation, Action, Adventure","United States, Japan, China, Russia",7.6,"574,537",3.1,movie,Family,True,False,False,False,True,False,False
Super Why!,TV-Y,Suitable for all ages.,2015,68.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Jessie,TV-G,Suitable for all ages.,2015,88.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,2009,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Lab Rats,TV-Y7,Suitable for children ages 7 and older,2016,85.0,80,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Pocoyo,TV-Y,Suitable for all ages.,2007,67.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Octonauts,TV-Y,Suitable for all ages.,2015,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2017,88.0,80,,1.0,0.2,0.2,,,,,2.2,tv,Kids,False,True,False,False,False,True,False
Mother Goose Club,TV-Y,Suitable for all ages.,2016,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Little Einsteins,TV-Y,Suitable for all ages.,2007,70.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Hotel Transylvania 2,PG,Parental guidance suggested. May not be suitable for children.,2015,93.0,80,"some scary images, action and rude humor",0.7,0.7,0.4,"Animation, Adventure, Comedy","United States, Canada",6.6,"160,207",3.1,movie,Family,True,False,False,False,True,False,False
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,2017,72.0,80,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Goosebumps,PG,Parental guidance suggested. May not be suitable for children.,2015,90.0,80,"scary and intense creature action and images, and for some rude humor",0.7,0.7,0.4,"Adventure, Comedy, Family","United States, Australia",6.3,"101,752",3.1,movie,Family,True,False,False,False,True,False,False
Kung Fu Panda 3,PG,Parental guidance suggested. May not be suitable for children.,2016,92.0,80,martial arts action and some mild rude humor,0.7,0.7,0.4,"Animation, Action, Adventure","United States, China",7.1,"215,526",3.1,movie,Family,True,False,False,False,True,False,False
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,2017,,82,,1.0,0.2,0.2,,,,,2.1,tv,Kids,False,True,False,False,False,True,False
Open Season: Scared Silly,PG,Parental guidance suggested. May not be suitable for children.,2015,72.0,80,rude humor and some action,0.7,0.7,0.4,"Animation, Adventure, Comedy","United States, Canada, Australia, Czech Republic, United Kingdom",5.0,"4,497",3.1,movie,Family,True,False,False,False,True,False,False
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,2016,,82,,1.0,0.2,0.2,"Animation, Adventure, Family, Musical",,6.0,596,1.1,movie,Kids,True,False,False,False,False,True,False
Alice Through the Looking Glass,PG,Parental guidance suggested. May not be suitable for children.,2016,96.0,80,fantasy action/peril and some language,0.7,0.7,0.4,"Adventure, Family, Fantasy","United States, Thailand, United Kingdom, India, Canada",6.2,"133,655",3.1,movie,Family,True,False,False,False,True,False,False
Ask the StoryBots,TV-Y,Suitable for all ages.,2016,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Goldie & Bear,TV-Y,Suitable for all ages.,2016,77.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,2016,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Tayo the Little Bus,TV-Y,Suitable for all ages.,2014,,82,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Antz,PG,Parental guidance suggested. May not be suitable for children.,1998,80.0,80,moderate adult language and intense action,0.7,0.7,0.4,"Animation, Adventure, Comedy","United States, United Kingdom",6.5,"169,324",3.1,movie,Family,True,False,False,False,True,False,False
Chicken Run,G,General Audiences. Suitable for all ages.,2000,80.0,80,,1.0,0.2,0.2,"Animation, Adventure, Comedy","United Kingdom, France, United States",7.1,"223,786",1.1,movie,Kids,True,False,False,False,False,True,False
Spy Kids 3: Game Over,PG,Parental guidance suggested. May not be suitable for children.,2003,64.0,80,action sequences and peril,0.7,0.7,0.4,"Action, Adventure, Comedy",United States,4.4,"69,529",3.1,movie,Family,True,False,False,False,True,False,False
Annie,PG,Parental guidance suggested. May not be suitable for children.,1982,68.0,80,adult content and mld violence,0.7,0.7,0.4,"Comedy, Drama, Family",United States,6.6,"52,930",3.1,movie,Family,True,False,False,False,True,False,False
Mulan 2,G,General Audiences. Suitable for all ages.,2004,85.0,80,,1.0,0.2,0.2,,,,,1.1,movie,Kids,True,False,False,False,False,True,False
Lilo & Stitch 2: Stitch Has A Glitch,PG,Parental guidance suggested. May not be suitable for children.,2005,85.0,80,some mild action,0.7,0.7,0.4,"Animation, Comedy, Drama, Family, Sci-Fi",USA,6.3,"12,911",3.1,movie,Family,True,False,False,False,True,False,False
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,2008,56.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,2012,,82,,1.0,0.2,0.2,"Adventure, Comedy, Family",USA,4.4,"1,796",1.1,movie,Kids,True,False,False,False,False,True,False
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,2011,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
The Magic School Bus,TV-Y,Suitable for all ages.,1997,81.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Sofia the First,TV-Y,Suitable for all ages.,2015,82.0,80,,1.0,0.2,0.2,,,,,1.3,tv,Kids,False,True,False,False,False,True,False
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,2012,85.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Paddington,PG,Parental guidance suggested. May not be suitable for children.,2014,70.0,80,mild action and rude humor,0.7,0.7,0.4,"Adventure, Comedy, Family","United Kingdom, France, Costa Rica",7.3,"151,982",3.1,movie,Family,True,False,False,False,True,False,False
